id,symptom_name,normalized_name,definition,synonyms,uri,icd_code,source,body_system,release
629,A Blotchy Rash,a blotchy rash,,,,,Extracted from disease definitions (mentioned in 1 diseases),,2025-01
505,A Characteristic Erythematous Dermatitis That Is Bilateral,a characteristic erythematous dermatitis that is bilateral,,,,,Extracted from disease definitions (mentioned in 1 diseases),,2025-01
597,A Characteristic Rash,a characteristic rash,,,,,Extracted from disease definitions (mentioned in 1 diseases),,2025-01
507,A Dementia After Mental Changes Including Insomnia,a dementia after mental changes including insomnia,,,,,Extracted from disease definitions (mentioned in 1 diseases),,2025-01
444,A Distinctive Rash,a distinctive rash,,,,,Extracted from disease definitions (mentioned in 1 diseases),,2025-01
328,A Fear Of Weight Gain,a fear of weight gain,,,,,Extracted from disease definitions (mentioned in 1 diseases),,2025-01
180,A Fever,a fever,,,,,Extracted from disease definitions (mentioned in 5 diseases),,2025-01
606,A Feverish Syndrome With Sudden Onset Of Flu-Like Fever,a feverish syndrome with sudden onset of flu-like fever,,,,,Extracted from disease definitions (mentioned in 1 diseases),,2025-01
463,A Lump Developing In The Tissue,a lump developing in the tissue,,,,,Extracted from disease definitions (mentioned in 1 diseases),,2025-01
427,A Mild Clinical Presentation Of Paroxysmal Cough,a mild clinical presentation of paroxysmal cough,,,,,Extracted from disease definitions (mentioned in 1 diseases),,2025-01
422,A Painful Swollen Purulent Mass Centred On A Hair Follicle,a painful swollen purulent mass centred on a hair follicle,,,,,Extracted from disease definitions (mentioned in 1 diseases),,2025-01
585,A Red Rash,a red rash,,,,,Extracted from disease definitions (mentioned in 1 diseases),,2025-01
586,A Sore Throat,a sore throat,,,,,Extracted from disease definitions (mentioned in 1 diseases),,2025-01
553,A Subacute Severe Symmetrical Proximal Myopathy,a subacute severe symmetrical proximal myopathy,,,,,Extracted from disease definitions (mentioned in 1 diseases),,2025-01
519,A Symptomatic Presentation Of Seizures,a symptomatic presentation of seizures,,,,,Extracted from disease definitions (mentioned in 1 diseases),,2025-01
451,A Vesicular Rash,a vesicular rash,,,,,Extracted from disease definitions (mentioned in 1 diseases),,2025-01
496,A Widespread Lichenoid Rash,a widespread lichenoid rash,,,,,Extracted from disease definitions (mentioned in 1 diseases),,2025-01
462,Abdominal,abdominal,,,,,Extracted from disease definitions (mentioned in 1 diseases),,2025-01
731,Abdominal bloating,abdominal bloating,,,,,Curated symptom vocabulary,,2025-01
1493,Abdominal compartment syndrome,abdominal compartment syndrome,"Abdominal compartment syndrome is a condition of organ dysfunction caused by increased intra-abdominal pressure (intra-abdominal hypertension), possibly due to intra-abdominal haemorrhage, retroperitoneal haematoma, or intestinal oedema, often occurred after surgical intervention or trauma, or often associated with septic condition. The importance of this clinical entity was recognised recently in the end of the 20th Century. Usually the abdominal distension due to primary ischaemic bowel injury was excluded from this clinical entity.",,https://id.who.int/icd/release/11/2025-01/mms/918157973,ME00,ICD-11 MMS Chapter 21 API,,2025-01
732,Abdominal cramps,abdominal cramps,,,,,Curated symptom vocabulary,,2025-01
403,Abdominal distension,abdominal distension,,,,,Extracted from disease definitions (mentioned in 1 diseases),,2025-01
1111,Abdominal or pelvic pain,abdominal or pelvic pain,"Pain, an unpleasant distress sensation occurring in varying degrees of severity, received by nerve ending in the abdominal and pelvic region.",,https://id.who.int/icd/release/11/2025-01/mms/1293213417,MD81,ICD-11 MMS Chapter 21 API,,2025-01
90,Abdominal pain,abdominal pain,,,,,Extracted from disease definitions (mentioned in 28 diseases),,2025-01
740,Abdominal rigidity,abdominal rigidity,,,,,Curated symptom vocabulary,,2025-01
739,Abdominal tenderness,abdominal tenderness,,,,,Curated symptom vocabulary,,2025-01
1285,Abnormal arterial blood-gas level,abnormal arterial blood-gas level,,,https://id.who.int/icd/release/11/2025-01/mms/1084917859,MA18.2,ICD-11 MMS Chapter 21 API,,2025-01
1085,"Abnormal blood-pressure reading, without diagnosis","abnormal blood-pressure reading, without diagnosis","Abnormal blood-pressure reading, without diagnosis is a reading of blood pressure which is higher than normal blood pressure or lower than normal blood pressure, without diagnosis.",,https://id.who.int/icd/release/11/2025-01/mms/1853670927,MC80,ICD-11 MMS Chapter 21 API,,2025-01
1438,"Abnormal blood-pressure reading, without diagnosis, unspecified","abnormal blood-pressure reading, without diagnosis, unspecified",,,https://id.who.int/icd/release/11/2025-01/mms/1853670927/unspecified,MC80.Z,ICD-11 MMS Chapter 21 API,,2025-01
1494,Abnormal bowel sounds,abnormal bowel sounds,"Bowel sounds are caused by the products of digestion as they move through the lower gastrointestinal tract, usually heard on auscultation. Abnormal bowel sounds are reduced or increased bowel sounds which provide valuable information about the disorders of bowel movement.",,https://id.who.int/icd/release/11/2025-01/mms/48769702,ME03,ICD-11 MMS Chapter 21 API,,2025-01
1792,"Abnormal bowel sounds, unspecified","abnormal bowel sounds, unspecified",,,https://id.who.int/icd/release/11/2025-01/mms/48769702/unspecified,ME03.Z,ICD-11 MMS Chapter 21 API,,2025-01
1620,Abnormal cervix smear,abnormal cervix smear,,,https://id.who.int/icd/release/11/2025-01/mms/1322223068,MF66.0,ICD-11 MMS Chapter 21 API,,2025-01
1176,Abnormal chromosomal findings in specimens from female genital organs,abnormal chromosomal findings in specimens from female genital organs,,,https://id.who.int/icd/release/11/2025-01/mms/134457129,MF68,ICD-11 MMS Chapter 21 API,,2025-01
1187,Abnormal chromosomal findings in specimens from male genital organs,abnormal chromosomal findings in specimens from male genital organs,,,https://id.who.int/icd/release/11/2025-01/mms/470773651,MF78,ICD-11 MMS Chapter 21 API,,2025-01
1286,Abnormal coagulation profile,abnormal coagulation profile,,,https://id.who.int/icd/release/11/2025-01/mms/1621049377,MA18.3,ICD-11 MMS Chapter 21 API,,2025-01
1427,Abnormal cytological findings in cerebrospinal fluid,abnormal cytological findings in cerebrospinal fluid,,,https://id.who.int/icd/release/11/2025-01/mms/1991292468,MB70.6,ICD-11 MMS Chapter 21 API,,2025-01
1509,Abnormal cytological findings in specimens from digestive organs and abdominal cavity,abnormal cytological findings in specimens from digestive organs and abdominal cavity,,,https://id.who.int/icd/release/11/2025-01/mms/1362169845,ME20.6,ICD-11 MMS Chapter 21 API,,2025-01
1174,Abnormal cytological findings in specimens from female genital organs,abnormal cytological findings in specimens from female genital organs,,,https://id.who.int/icd/release/11/2025-01/mms/1280206666,MF66,ICD-11 MMS Chapter 21 API,,2025-01
1622,"Abnormal cytological findings in specimens from female genital organs, unspecified","abnormal cytological findings in specimens from female genital organs, unspecified",,,https://id.who.int/icd/release/11/2025-01/mms/1280206666/unspecified,MF66.Z,ICD-11 MMS Chapter 21 API,,2025-01
1185,Abnormal cytological findings in specimens from male genital organs,abnormal cytological findings in specimens from male genital organs,,,https://id.who.int/icd/release/11/2025-01/mms/1354149835,MF76,ICD-11 MMS Chapter 21 API,,2025-01
1244,"Abnormal cytological findings in specimens from other organs, systems and tissues","abnormal cytological findings in specimens from other organs, systems and tissues",,,https://id.who.int/icd/release/11/2025-01/mms/506625143,MG66,ICD-11 MMS Chapter 21 API,,2025-01
1480,Abnormal cytological findings in specimens from respiratory organs and thorax,abnormal cytological findings in specimens from respiratory organs and thorax,,,https://id.who.int/icd/release/11/2025-01/mms/1305069430,MD40.6,ICD-11 MMS Chapter 21 API,,2025-01
1247,Abnormal diagnostic imaging results not elsewhere classified,abnormal diagnostic imaging results not elsewhere classified,,,https://id.who.int/icd/release/11/2025-01/mms/2122862035,MG70,ICD-11 MMS Chapter 21 API,,2025-01
1289,"Abnormal findings of blood chemistry, unspecified","abnormal findings of blood chemistry, unspecified",,,https://id.who.int/icd/release/11/2025-01/mms/221651900/unspecified,MA18.Z,ICD-11 MMS Chapter 21 API,,2025-01
1209,Abnormal findings on cytological and histological examination of urine,abnormal findings on cytological and histological examination of urine,,,https://id.who.int/icd/release/11/2025-01/mms/1919592035,MF9C,ICD-11 MMS Chapter 21 API,,2025-01
1208,Abnormal findings on microbiological examination of urine,abnormal findings on microbiological examination of urine,,,https://id.who.int/icd/release/11/2025-01/mms/251900705,MF9B,ICD-11 MMS Chapter 21 API,,2025-01
1713,Abnormal findings on neonatal screening,abnormal findings on neonatal screening,,,https://id.who.int/icd/release/11/2025-01/mms/201152505,MG71.0,ICD-11 MMS Chapter 21 API,,2025-01
1739,Abnormal glucose tolerance test,abnormal glucose tolerance test,"Greater than normal levels of glucose found in laboratory examination of the blood to check how the body breaks down (metabolizes) blood sugar. Positive findings may indicate diabetes or Cushing diseases, among other things.",,https://id.who.int/icd/release/11/2025-01/mms/1870522325,MA18.00,ICD-11 MMS Chapter 21 API,,2025-01
1378,Abnormal head movements,abnormal head movements,,,https://id.who.int/icd/release/11/2025-01/mms/412021217,MB46.1,ICD-11 MMS Chapter 21 API,,2025-01
1428,Abnormal histological findings in cerebrospinal fluid,abnormal histological findings in cerebrospinal fluid,,,https://id.who.int/icd/release/11/2025-01/mms/335248290,MB70.7,ICD-11 MMS Chapter 21 API,,2025-01
1510,Abnormal histological findings in specimens from digestive organs and abdominal cavity,abnormal histological findings in specimens from digestive organs and abdominal cavity,,,https://id.who.int/icd/release/11/2025-01/mms/880460385,ME20.7,ICD-11 MMS Chapter 21 API,,2025-01
1175,Abnormal histological findings in specimens from female genital organs,abnormal histological findings in specimens from female genital organs,,,https://id.who.int/icd/release/11/2025-01/mms/688237280,MF67,ICD-11 MMS Chapter 21 API,,2025-01
1186,Abnormal histological findings in specimens from male genital organs,abnormal histological findings in specimens from male genital organs,,,https://id.who.int/icd/release/11/2025-01/mms/905798239,MF77,ICD-11 MMS Chapter 21 API,,2025-01
1245,"Abnormal histological findings in specimens from other organs, systems and tissues","abnormal histological findings in specimens from other organs, systems and tissues",,,https://id.who.int/icd/release/11/2025-01/mms/2071572963,MG67,ICD-11 MMS Chapter 21 API,,2025-01
1481,Abnormal histological findings in specimens from respiratory organs and thorax,abnormal histological findings in specimens from respiratory organs and thorax,,,https://id.who.int/icd/release/11/2025-01/mms/679611104,MD40.7,ICD-11 MMS Chapter 21 API,,2025-01
1425,Abnormal immunological findings in cerebrospinal fluid,abnormal immunological findings in cerebrospinal fluid,,,https://id.who.int/icd/release/11/2025-01/mms/1733700447,MB70.4,ICD-11 MMS Chapter 21 API,,2025-01
1507,Abnormal immunological findings in specimens from digestive organs and abdominal cavity,abnormal immunological findings in specimens from digestive organs and abdominal cavity,,,https://id.who.int/icd/release/11/2025-01/mms/1087869600,ME20.4,ICD-11 MMS Chapter 21 API,,2025-01
1172,Abnormal immunological findings in specimens from female genital organs,abnormal immunological findings in specimens from female genital organs,,,https://id.who.int/icd/release/11/2025-01/mms/1571355169,MF64,ICD-11 MMS Chapter 21 API,,2025-01
1183,Abnormal immunological findings in specimens from male genital organs,abnormal immunological findings in specimens from male genital organs,,,https://id.who.int/icd/release/11/2025-01/mms/1095774880,MF74,ICD-11 MMS Chapter 21 API,,2025-01
1242,"Abnormal immunological findings in specimens from other organs, systems and tissues","abnormal immunological findings in specimens from other organs, systems and tissues",,,https://id.who.int/icd/release/11/2025-01/mms/265609502,MG64,ICD-11 MMS Chapter 21 API,,2025-01
1478,Abnormal immunological findings in specimens from respiratory organs and thorax,abnormal immunological findings in specimens from respiratory organs and thorax,,,https://id.who.int/icd/release/11/2025-01/mms/1546607135,MD40.4,ICD-11 MMS Chapter 21 API,,2025-01
1046,Abnormal involuntary movements,abnormal involuntary movements,"Abnormal involuntary movements include abnormal head movements, tremor, cramp, spasm, fasciculation, and other abnormal involuntary movements",,https://id.who.int/icd/release/11/2025-01/mms/682424259,MB46,ICD-11 MMS Chapter 21 API,,2025-01
1384,"Abnormal involuntary movements, unspecified","abnormal involuntary movements, unspecified",,,https://id.who.int/icd/release/11/2025-01/mms/682424259/unspecified,MB46.Z,ICD-11 MMS Chapter 21 API,,2025-01
1248,"Abnormal laboratory results, not elsewhere classified","abnormal laboratory results, not elsewhere classified",,,https://id.who.int/icd/release/11/2025-01/mms/599682963,MG71,ICD-11 MMS Chapter 21 API,,2025-01
